itemName,year,avgPrice
Stranahans Colorado Whiskey,2019,3.436046511627907
Stranahans Colorado Whiskey,2020,2.558467741935484
Vektor Vodka,2017,2.5760869565217392
Vektor Vodka,2019,2.625
Vektor Vodka,2018,1.8214285714285714
Rebel Yell KSBW Mini,2020,0.6
Tequila Comisario Anejo,2019,1.35
Tequila Comisario Anejo,2020,2.1
Tequila Comisario Anejo,2018,1.55
Schlichte Steinhaeger Gin,2018,9.0
Parkers Heritage Collection Malt Whiskey HA,2015,0.75
Bird Dog Blackberry w/2 Shot Glasses,2017,3.15
Cold Spell,2019,9.0
Daviess County KSBW Cab Finished,2020,2.712121212121212
Shellback Silver,2012,6.322222222222222
Shellback Silver,2014,4.845569620253165
Shellback Silver,2013,5.580089820359281
Shellback Silver,2015,4.821428571428571
Rebel Yell 10yr Single Barrel,2020,2.83125
Tippy Cow Chocolate Mini,2015,0.7463556851311953
Tippy Cow Chocolate Mini,2016,0.5
Tippy Cow Chocolate Mini,2014,1.2820945945945945
SOOH Oban Distillers Edition,2020,0.9
Hopper & Woods Rock and Rye,2019,1.6875
Hopper & Woods Rock and Rye,2018,2.25
White Horse Scotch,2017,19.333333333333332
White Horse Scotch,2018,16.5
White Horse Scotch,2014,21.75
White Horse Scotch,2013,14.55
White Horse Scotch,2016,16.636363636363637
White Horse Scotch,2019,21.9
White Horse Scotch,2012,13.0
White Horse Scotch,2020,15.0
White Horse Scotch,2015,16.636363636363637
Baileys Original Irish Cream w/2 Dessert Bowls,2018,6.108274647887324
Baileys Original Irish Cream w/2 Dessert Bowls,2019,11.897560975609757
Baileys Original Irish Cream w/2 Dessert Bowls,2020,5.1911764705882355
Baileys Original Irish Cream w/2 Dessert Bowls,2017,9.46058091286307
Anchor Old Tom Gin,2017,4.5
Anchor Old Tom Gin,2016,9.0
Dekuyper Anisette,2018,36.0
Dekuyper Anisette,2015,27.0
Dekuyper Anisette,2017,19.8
Dekuyper Anisette,2016,18.0
HA Parkers Heritage Collection 11th Edition DISCO,2017,0.75
Suze D'Autrefois,2016,6.0
